SDFB Relationship ID,Person 1 ID,Person 2 ID,Original Confidence,Maximum Confidence
100120283,10006378,10007660,35,35
100120284,10006378,10008359,25,25
100120286,10006378,10011671,44,44
100120287,10006378,10012463,11,11
100120289,10006378,10013300,44,44
100120292,10006379,10008183,64,64
100120294,10006379,10010599,27,27
100120295,10006379,10010945,14,14
100120297,10006379,10011505,27,27
100120298,10006379,10012930,27,27
100120300,10006380,10012118,33,33
100120301,10006380,10012119,30,30
100120303,10006381,10007430,23,23
100120305,10006381,10011681,51,51
100120306,10006381,10012634,12,12
100120308,10006382,10008587,51,51
100120311,10006383,10008757,18,18
100120312,10006383,10009896,13,13
100120314,10006383,10011779,23,23
100120316,10006383,10012119,82,82
100120317,10006383,10012188,15,15
100120320,10006383,10012539,86,86
100120321,10006383,10013079,18,18
100120322,10006384,10008065,19,19
100120323,10006384,10008476,25,25
100120325,10006384,10008817,25,25
100120327,10006384,10012016,49,49
100120328,10006384,10012116,30,30
100120331,10006385,10010009,16,16
100120333,10006385,10013187,16,16
100120337,10006386,10012161,19,19
100120338,10006387,10006393,23,23
100120340,10006387,10007155,49,49
100120341,10006387,10007541,24,24
100120343,10006387,10008758,54,54
100120345,10006387,10010749,33,33
100120346,10006387,10012607,24,24
100120348,10006388,10009576,11,11
100120349,10006388,10009710,56,56
100120351,10006388,10010803,13,13
100120352,10006388,10010841,35,35
100120354,10006388,10012308,46,46
100120357,10006389,10011670,51,51
100120359,10006390,10011212,15,15
100120360,10006390,10011263,13,13
100120362,10006390,10011817,14,14
100120363,10006391,10006565,13,13
100120365,10006391,10009884,46,46
100120366,10006391,10010470,38,38
100120368,10006391,10010721,49,49
100120370,10006392,10007066,19,19
100120371,10006392,10007618,17,17
100120373,10006392,10010134,14,14
100120376,10006392,10011683,21,21
100120377,10006392,10013084,41,41
100120379,10006393,10007066,60,60
100120381,10006393,10007618,33,33
100120382,10006393,10009069,51,51
100120384,10006393,10009506,74,74
100120385,10006393,10009531,23,23
100120387,10006393,10010134,15,15
100120388,10006393,10010600,20,20
100120390,10006393,10012076,13,13
100120392,10006393,10012464,51,51
100120393,10006393,10012887,16,16
100120396,10006394,10007635,34,34
100120398,10006394,10008815,50,50
100120402,10006394,10009741,28,28
100120403,10006394,10010282,52,52
100120405,10006394,10010851,23,23
100120406,10006394,10010948,17,17
100120408,10006394,10011218,12,12
100120413,10006395,10009329,28,28
100120414,10006395,10009392,18,18
100120415,10006395,10011378,16,16
100120416,10006395,10011818,26,26
100120417,10006395,10012903,34,34
